Unnamed: 0,Latitude,Longitude,date_y,time_y
0,12.97039445,77.6447133,19-01-2024,11:40 AM
1,12.98241296,77.72197936,20-01-2024,8:00 PM
2,12.99827011,77.56945521,25-01-2024,8:51 PM
3,12.95404312,77.56886512,21-01-2024,9:43 PM
4,12.97912104,77.64403872,19-01-2024,12:36 PM
5,12.99763172,77.6968206,22-01-2024,4:19 PM
6,12.93658526,77.61346791,26-01-2024,11:26 AM
7,12.93343554,77.61434499,22-01-2024,3:11 PM
8,12.97182157,77.64110304,20-01-2024,5:48 PM
9,12.93296695,77.63111752,26-01-2024,2:55 PM
10,12.97021802,77.64030542,26-01-2024,10:27 PM
11,12.96396971,77.63859853,21-01-2024,5:58 PM
12,12.91804385,77.63768893,21-01-2024,11:27 PM
13,12.97472511,77.60541189,26-01-2024,11:27 AM
14,12.9702177,77.6376145,25-01-2024,10:36 PM
15,12.9703033,77.64449771,20-01-2024,4:28 PM
16,12.93347017,77.61418238,23-01-2024,10:50 PM
17,12.91293443,77.68290594,21-01-2024,8:29 PM
18,12.9703266,77.6357265,19-01-2024,7:17 PM
19,12.97606334,77.60155186,22-01-2024,2:18 PM
20,12.9704219,77.61105794,22-01-2024,2:11 PM
21,12.9163576,77.60477956,21-01-2024,11:44 AM
22,12.95490768,77.58568022,25-01-2024,3:53 PM
23,12.97033695,77.64527254,24-01-2024,2:28 PM
24,12.9716667,77.59839457,25-01-2024,5:50 PM
25,12.95567127,77.72527816,22-01-2024,12:04 PM
26,12.96657733,77.60869961,19-01-2024,8:50 PM
27,12.96993083,77.64142055,25-01-2024,6:15 PM
28,12.97351365,77.62020294,19-01-2024,9:16 PM
29,12.91356874,77.63820257,19-01-2024,10:03 PM
30,12.91189129,77.6380631,21-01-2024,9:25 PM
31,12.92623505,77.54873414,26-01-2024,1:57 PM
32,12.96977891,77.60707453,23-01-2024,5:19 PM
33,12.98098133,77.63725977,22-01-2024,7:40 PM
34,12.89323791,77.58632932,23-01-2024,8:33 PM
35,12.90573138,77.60841161,26-01-2024,11:14 PM
36,12.97263281,77.6082956,24-01-2024,12:34 PM
37,12.97087767,77.60744736,24-01-2024,11:25 PM
38,12.92267737,77.65144195,19-01-2024,8:28 PM
39,12.93464785,77.62554456,19-01-2024,2:25 PM
40,12.9705374,77.61045441,24-01-2024,6:22 PM
41,12.91192952,77.63801917,21-01-2024,9:26 PM
42,12.97187907,77.59511355,25-01-2024,8:44 PM
43,12.97065518,77.60065634,23-01-2024,11:34 PM
44,12.97040393,77.64586598,21-01-2024,11:11 PM
45,12.96697006,77.60783695,19-01-2024,11:56 AM
46,12.90635951,77.59681508,20-01-2024,6:20 PM
47,12.97033009,77.64467239,26-01-2024,11:35 PM
48,12.96796788,77.60736287,26-01-2024,1:23 PM
49,12.97006806,77.63965968,20-01-2024,12:19 PM
50,12.96697626,77.63693791,20-01-2024,1:42 PM
51,12.997432,77.69654,19-01-2024,1:43 PM
52,12.99150568,77.59425055,20-01-2024,2:20 PM
53,12.97992377,77.69411355,25-01-2024,8:04 PM
54,12.9293182,77.6346292,26-01-2024,8:10 PM
55,12.93484587,77.62964129,23-01-2024,1:32 PM
56,12.93495371,77.62904651,22-01-2024,7:42 PM
57,12.93344436,77.62366802,25-01-2024,8:09 PM
58,12.97329573,77.60922331,23-01-2024,2:44 PM
59,12.98237081,77.72192437,24-01-2024,5:35 PM
60,12.9330506,77.58236803,24-01-2024,10:26 PM
61,12.939076,77.626065,19-01-2024,2:46 PM
62,12.9788881,77.640922,24-01-2024,9:27 PM
63,12.96988085,77.64128376,26-01-2024,4:26 PM
64,12.90637388,77.58206293,21-01-2024,8:59 PM
65,13.0247031,77.7614997,22-01-2024,10:37 AM
66,12.97317843,77.60922901,22-01-2024,2:27 PM
67,12.93338717,77.62224443,23-01-2024,11:32 AM
68,12.9450049,77.57145714,21-01-2024,2:06 PM
69,12.91438475,77.58587368,26-01-2024,9:32 PM
70,12.935475,77.614142,24-01-2024,12:52 PM
71,13.02737411,77.57731508,26-01-2024,4:10 PM
72,12.84977027,77.65783768,26-01-2024,5:46 PM
73,12.90755234,77.59935513,20-01-2024,5:44 PM
74,12.94831687,77.69886877,20-01-2024,6:56 PM
75,12.93708161,77.61755928,21-01-2024,3:11 PM
76,12.90637585,77.57786125,21-01-2024,8:00 PM
77,12.91417919,77.67762903,23-01-2024,10:12 AM
78,13.0215447,77.64050692,19-01-2024,10:04 AM
79,12.9155733,77.64901623,21-01-2024,6:19 PM
80,12.96170807,77.59464987,19-01-2024,11:40 AM
81,12.97177616,77.59648249,25-01-2024,11:06 PM
82,12.96960182,77.60755699,25-01-2024,10:52 AM
83,13.00574325,77.58071411,23-01-2024,12:46 PM
84,12.97193984,77.60895208,24-01-2024,7:18 PM
85,12.91049683,77.68550701,25-01-2024,4:39 PM
86,12.97277559,77.61864122,24-01-2024,3:36 PM
87,12.97045196,77.64647517,22-01-2024,2:37 PM
88,12.97038661,77.64484104,21-01-2024,4:22 PM
89,12.99208654,77.5885703,23-01-2024,5:09 PM
90,12.93472007,77.6114586,23-01-2024,3:22 PM
91,12.97064799,77.59764623,24-01-2024,7:17 PM
92,12.97027193,77.63910782,22-01-2024,5:34 PM
93,13.01553156,77.63937671,25-01-2024,12:14 PM
94,12.93347279,77.61531763,25-01-2024,3:44 PM
95,13.01133522,77.55459845,26-01-2024,6:02 PM
96,12.9506992,77.69989941,21-01-2024,6:11 PM
97,12.97175492,77.59585317,20-01-2024,8:59 PM
98,12.99140015,77.57052138,25-01-2024,12:06 PM
99,12.97654622,77.72548534,26-01-2024,7:52 PM
100,12.97187907,77.59512763,24-01-2024,10:24 PM
101,12.97436899,77.6070068,21-01-2024,6:40 PM
102,12.96692464,77.60648813,25-01-2024,10:24 AM
103,12.99166902,77.57057972,19-01-2024,4:09 PM
104,12.93612059,77.62140188,20-01-2024,10:02 PM
105,12.98185429,77.69270372,26-01-2024,9:34 PM
106,13.01480931,77.63301518,20-01-2024,11:04 PM
107,12.96016948,77.64709309,24-01-2024,12:50 PM
108,12.97828956,77.63733722,24-01-2024,10:59 PM
109,12.93792401,77.69539163,25-01-2024,6:43 PM
110,12.93348455,77.62338437,23-01-2024,10:08 PM
111,12.99789802,77.62228031,25-01-2024,5:50 PM
112,12.94987972,77.69929022,26-01-2024,3:13 PM
113,12.96962665,77.60649417,19-01-2024,5:22 PM
114,12.9371437,77.6196209,24-01-2024,5:45 PM
115,12.92042941,77.68433522,19-01-2024,8:33 PM
116,12.98744777,77.61663426,23-01-2024,7:36 PM
117,12.91816182,77.57409576,25-01-2024,10:02 PM
118,12.97532366,77.60504678,20-01-2024,11:12 AM
119,12.89404026,77.58630652,23-01-2024,11:32 AM
120,13.06349503,77.59116936,19-01-2024,11:09 AM
121,12.90938211,77.52730262,22-01-2024,5:49 PM
122,12.910836,77.685732,25-01-2024,4:40 PM
123,13.00852357,77.54921123,26-01-2024,3:39 PM
124,12.93564417,77.6149904,19-01-2024,1:36 PM
125,12.97159058,77.59615391,23-01-2024,8:53 PM
126,12.93346821,77.6153136,26-01-2024,10:56 AM
127,12.91076971,77.59944364,23-01-2024,5:42 PM
128,12.97048071,77.6464279,20-01-2024,10:26 PM
129,13.02268504,77.63974987,20-01-2024,10:09 AM
130,12.9237685,77.65155863,22-01-2024,1:14 PM
131,12.90801202,77.38177654,24-01-2024,11:48 PM
132,12.94962616,77.69908067,21-01-2024,5:35 PM
133,12.97088192,77.64741194,21-01-2024,11:43 PM
134,12.9722631,77.59618032,22-01-2024,3:10 PM
135,12.90494803,77.50928018,21-01-2024,2:26 PM
136,12.92263064,77.58479577,22-01-2024,11:57 AM
137,12.84031538,77.6533977,25-01-2024,11:09 PM
138,12.92639125,77.58480582,24-01-2024,6:56 PM
139,12.97096818,77.59754632,21-01-2024,12:38 PM
140,12.98469401,77.57637195,19-01-2024,11:01 AM
141,12.96759933,77.60004245,25-01-2024,10:46 AM
142,12.897472,77.717611,23-01-2024,7:51 PM
143,12.97006446,77.63948902,24-01-2024,7:18 PM
144,12.89772024,77.71725062,24-01-2024,1:47 PM
145,12.96554291,77.59650193,26-01-2024,11:05 PM
146,12.99660238,77.55426016,24-01-2024,4:49 PM
147,12.95391895,77.63971299,22-01-2024,3:36 PM
148,12.96287581,77.75073767,21-01-2024,1:52 PM
149,12.97520669,77.60347266,22-01-2024,10:57 PM
150,13.0271497,77.57185712,20-01-2024,10:57 PM
151,12.99862979,77.5423716,23-01-2024,11:52 PM
152,12.9056987,77.52108358,25-01-2024,12:06 PM
153,12.98796682,77.72998985,23-01-2024,3:22 PM
154,12.98265929,77.76712429,20-01-2024,12:20 PM
155,12.93405379,77.61569481,25-01-2024,10:18 AM
156,12.93461485,77.61328083,20-01-2024,1:35 PM
157,12.987374,77.73335,25-01-2024,7:46 PM
158,13.00379822,77.54363157,24-01-2024,5:27 PM
159,13.01247039,77.5550675,19-01-2024,6:46 PM
160,13.00929425,77.55133632,19-01-2024,12:09 PM
161,12.97197153,77.59636916,24-01-2024,4:14 PM
162,12.91783372,77.59258356,20-01-2024,1:20 PM
163,12.89221429,77.6025939,19-01-2024,9:15 PM
164,12.93305289,77.61474296,24-01-2024,9:31 PM
165,13.01078413,77.75982298,25-01-2024,10:55 PM
166,12.9892427,77.7280184,23-01-2024,11:43 PM
167,12.82667909,77.68089227,21-01-2024,11:27 PM
168,12.97314348,77.62000144,20-01-2024,6:30 PM
169,12.91177723,77.63240565,19-01-2024,9:01 PM
170,12.93432664,77.60959413,24-01-2024,11:16 AM
171,12.96694359,77.59507231,26-01-2024,9:17 PM
172,12.92729348,77.58523867,21-01-2024,7:45 PM
173,12.90412774,77.67593555,19-01-2024,12:20 PM
174,12.9498954,77.69927882,25-01-2024,3:17 PM
175,12.96632314,77.6415436,19-01-2024,3:50 PM
176,12.97025821,77.61481907,20-01-2024,12:48 PM
177,12.98411117,77.58396763,23-01-2024,4:07 PM
