Latitude,Longitude
12.99827011,77.56945521
12.99150568,77.59425055
13.02737411,77.57731508
13.0215447,77.64050692
13.00574325,77.58071411
12.99208654,77.5885703
13.01553156,77.63937671
13.01133522,77.55459845
12.99140015,77.57052138
12.99166902,77.57057972
13.01480931,77.63301518
13.06349503,77.59116936
13.00852357,77.54921123
13.02268504,77.63974987
12.90801202,77.38177654
12.98469401,77.57637195
12.99660238,77.55426016
13.0271497,77.57185712
12.99862979,77.5423716
13.00379822,77.54363157
13.01247039,77.5550675
13.00929425,77.55133632
12.98411117,77.58396763
28.64607661,77.34839626
13.06264326,77.59249136
12.99841973,77.55220156
13.02222054,77.63740126
12.98723444,77.59493887
13.02542336,77.63951752
12.98658855,77.57957485
13.01133555,77.55460449
13.05951114,77.59274114
12.99782157,77.54671209
13.26226061,77.7162163
13.05042275,77.57698761
13.02407234,77.64310263
13.02414836,77.6361394
13.0248465,77.63162244
13.02118635,77.64148425
12.99216854,77.588575
13.01238219,77.55435705
13.0071375,77.57947728
12.98402459,77.57811002
13.01746017,77.64335677
12.98411313,77.58396763
12.99919626,77.57149167
12.99288073,77.57141188
13.069119,77.58048143
13.02542238,77.63866056
13.02372609,77.63975691
12.99967192,77.61603612
12.98725894,77.59472966
13.00458747,77.57864613
12.95901741,77.51929186
13.02548151,77.63939984
13.0054205,77.57242776
12.99957228,77.61585709
12.96087882,77.50921045
13.0321872,77.56967917
13.01233809,77.55401038
12.97584085,77.55263843
13.02226366,77.64351368
13.0938126,77.5955638
13.02780887,77.57336989
12.99409537,77.57141691
13.01455582,77.62880143
12.99464519,77.58522928
12.96083831,77.50729736
13.0293085,77.56176967
12.98532226,77.57905718
13.09724479,77.58419327
13.02802283,77.57126402
13.02251518,77.5926248
13.019247,77.63770703
13.01279085,77.64781393
13.0220141,77.63985749
12.99464617,77.58523431
13.02864476,77.57171396
13.02061634,77.64315359
13.0233047,77.63560686
12.99017962,77.53791243
13.02223328,77.63953496
13.08711421,77.590991
12.98484168,77.57961005
12.9915354,77.57050697
13.04256468,77.55497564
13.03406538,77.56926477
12.99687843,77.54741684
13.09958454,77.57814657
12.98986697,77.59128135
12.99478338,77.58522794
12.9922574,77.58852471
13.01668239,77.62961347
13.02223067,77.64003485
13.00082674,77.57235367
13.03987718,77.51888517
13.02278141,77.63966907
12.96007,77.52689
13.02270236,77.6434426
13.26839073,77.71970719
13.02249918,77.63974786
12.96090757,77.52793528
13.00073069,77.61512853
13.00191165,77.57226951
12.98384327,77.57672466
13.03418623,77.56955411
13.02235708,77.63808355
13.007936,77.557236
13.02157279,77.64137998
13.02785591,77.57332128
13.04293344,77.60978658
13.26828206,77.71918684
13.02803001,77.57207237
13.02324427,77.64312577
13.0726207,77.60381397
13.06325792,77.65533451
13.00348918,77.57843792
13.02014857,77.64304798
12.98367567,77.56018348
13.04100674,77.62029797
12.995525,77.573585
13.02259913,77.64812171
13.02133433,77.64170118
13.063066,77.587019
13.0153078,77.63933748
13.01945083,77.58524269
12.99919463,77.6000914
12.98635855,77.57442232
13.025218,77.64347
12.97161802,77.54700679
13.03351205,77.56908808
13.0429256,77.6098372
13.01501348,77.63166569
13.19993746,77.7082099
13.0540349,77.50757195
13.0913393,77.658541
13.06473414,77.64669646
12.98524679,77.57916648
13.063577,77.59057
12.99562362,77.57180214
13.00113807,77.59921465
12.99415319,77.57142462
13.000372,77.61672445
13.02205918,77.64007542
13.025494,77.629682
12.98466362,77.57847045
