latitude,longitude
12.9766,77.5993
12.977,77.5773
12.985,77.5533
13.0298,77.6047
12.9925,77.5633
13.0019,77.5713
13.0067,77.545
13.0158,77.539
13.0012,77.5995
13.0487,77.5923
12.9889,77.5741
13.102,77.5864
13.0289,77.54
13.014,77.5658
13.0138,77.5877
13.0496,77.4941
13.0503,77.5529
12.9883,77.5987
13.0626,77.5284
12.9757,77.5586
13.0262,77.62
13.0078,77.5577
13.0103,77.5796
13.0641,77.5931
13.0809,77.5565
12.9866,77.4904
12.9847,77.5491
12.989,77.5332
13.0734,77.5464
12.9719,77.5128
